name,id,keyword,followers,tracks_url
Pilates Flow 2025,4q2QCtuzMDO2NMtR0PN5pD,Chill,electroposé,https://api.spotify.com/v1/playlists/4q2QCtuzMDO2NMtR0PN5pD/tracks
"Ibiza Lounge Summer 2025 🌴 Cocktail, restaurant, & Ibiza bar chill mix",4g4haeURWP6htWZrMXnTSx,Chill,2cs70ri6aeynrmssl4ro142ts,https://api.spotify.com/v1/playlists/4g4haeURWP6htWZrMXnTSx/tracks
Beauty & Hair Salon 💅🏼 Chillout & Lounge Music,0qhGMHfC3VLOtVHJbIxkdI,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/0qhGMHfC3VLOtVHJbIxkdI/tracks
Chill Lounge 2025 🌴 ,0vcNICy53a4tMJE6tUIQvE,Chill,9farmipw0i9o1k4qcmvqg3dcv,https://api.spotify.com/v1/playlists/0vcNICy53a4tMJE6tUIQvE/tracks
Lounge Music 2025 🍹 Summer Chill,6NH3haTkVIgFaqh7vVc6Dn,Chill,sonymusicentertainment,https://api.spotify.com/v1/playlists/6NH3haTkVIgFaqh7vVc6Dn/tracks
"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill",2LIq3v1ZvSeLtTV6T8Axa6,Chill,sensualmusique,https://api.spotify.com/v1/playlists/2LIq3v1ZvSeLtTV6T8Axa6/tracks
"Chill, Jazz & Lounge",1TVCd0fTBqNSJDWL9Fzcy3,Chill,warnerfrspotify,https://api.spotify.com/v1/playlists/1TVCd0fTBqNSJDWL9Fzcy3/tracks
lofi Jazz Cafe 🎷Study Beats & Chill Vibes,2Al9G2jrWkwDlRFMZaw1GX,Chill,dor7cmlu5cn1dki1iqagc2ba6,https://api.spotify.com/v1/playlists/2Al9G2jrWkwDlRFMZaw1GX/tracks
Study Music 2025 📚,471N195f5jAVs086lzYglw,Chill,11124443444,https://api.spotify.com/v1/playlists/471N195f5jAVs086lzYglw/tracks
Lazy Days | Easy Music | Chill Hits,7g0V4gerBRwKlNuUcqqrg0,Chill,digsternl,https://api.spotify.com/v1/playlists/7g0V4gerBRwKlNuUcqqrg0/tracks
